country,ghi_score,year
Estonia,4.9,2025
Georgia,4.9,2025
Hungary,4.9,2025
Kazakhstan,4.9,2025
Kuwait,4.9,2025
Latvia,4.9,2025
Lithuania,4.9,2025
Montenegro,4.9,2025
North Macedonia,4.9,2025
Romania,4.9,2025
Russian Federation,4.9,2025
Serbia,4.9,2025
Slovakia,4.9,2025
Türkiye,4.9,2025
United Arab Emirates,4.9,2025
Uruguay,4.9,2025
Uzbekistan,4.9,2025
Moldova (Rep. of),5.1,2025
Mongolia,5.1,2025
Paraguay,5.2,2025
Azerbaijan,5.6,2025
Saudi Arabia,5.9,2025
Mexico,6.0,2025
Colombia,6.1,2025
Tunisia,6.2,2025
Argentina,6.4,2025
Brazil,6.4,2025
Dominican Republic,6.4,2025
Albania,7.0,2025
Algeria,7.1,2025
Peru,7.2,2025
Iran (Islamic Republic of),7.4,2025
Panama,7.5,2025
El Salvador,7.6,2025
Jamaica,8.0,2025
Kyrgyzstan,8.0,2025
Guyana,8.3,2025
Lebanon,8.5,2025
Morocco,9.3,2025
Cabo Verde,9.4,2025
Venezuela (Boliv. Rep. of),9.6,2025
Thailand,9.7,2025
Turkmenistan,9.7,2025
Fiji,9.9,2025
Oman,10.2,2025
Jordan,10.3,2025
Suriname,10.4,2025
Ukraine,10.4,2025
Egypt,10.5,2025
Ecuador,10.9,2025
Trinidad & Tobago,11.0,2025
Viet Nam,11.1,2025
Sri Lanka,11.2,2025
Honduras,12.5,2025
Iraq,12.8,2025
Tajikistan,12.8,2025
Ghana,13.1,2025
Mauritius,13.4,2025
Philippines,13.4,2025
Malaysia,13.6,2025
Libya,13.9,2025
Bolivia (Plurinat. State of),14.6,2025
Indonesia,14.6,2025
Nepal,14.8,2025
Cambodia,14.9,2025
South Africa,15.1,2025
Myanmar,15.3,2025
Senegal,15.6,2025
Eswatini,15.9,2025
Cameroon,17.1,2025
Comoros,17.2,2025
Gambia,17.3,2025
Togo,17.3,2025
Guatemala,18.0,2025
Gabon,18.8,2025
Namibia,18.9,2025
Bangladesh,19.2,2025
Mauritania,19.9,2025
Uganda,20.2,2025
Côte d'Ivoire,20.4,2025
Solomon Islands,20.4,2025
Zimbabwe,20.9,2025
Tanzania (United Rep. of),21.1,2025
Rwanda,21.7,2025
Botswana,21.8,2025
Djibouti,21.9,2025
Malawi,22.0,2025
Mali,22.3,2025
Congo (Republic of),22.6,2025
Burkina Faso,22.9,2025
Guinea,23.7,2025
Ethiopia,24.4,2025
Guinea-Bissau,25.4,2025
India,25.8,2025
Benin,25.9,2025
Kenya,25.9,2025
Mozambique,25.9,2025
Pakistan,26.0,2025
